Date,Open,High,Low,Close,Adj Close,Volume,% change
2021-05-03,56.520000,57.680000,56.160000,57.160000,52.914883,7066600,0.027134
2021-05-04,56.000000,58.220001,55.380001,57.299999,53.044483,7081500,0.002449
2021-05-05,57.950001,59.389999,57.200001,59.369999,54.960751,8732000,0.036126
2021-05-06,59.500000,60.049999,58.849998,59.459999,55.044064,7405500,0.001516
2021-05-07,59.000000,60.230000,58.680000,60.000000,55.543964,8178200,0.009082
2021-05-10,60.520000,61.110001,59.639999,59.810001,55.368076,6884600,-0.003167
2021-05-11,58.750000,59.459999,57.959999,58.639999,54.284969,5801400,-0.019562
2021-05-12,58.700001,60.520000,58.700001,58.970001,54.590458,7541600,0.005628
2021-05-13,58.330002,60.099998,58.020000,58.779999,54.414570,5491100,-0.003222
2021-05-14,59.459999,61.950001,55.980000,60.080002,55.618011,31341800,0.022116
2021-05-17,60.110001,61.759998,60.049999,61.520000,56.951077,11254800,0.023968
2021-05-18,61.180000,61.880001,60.270000,60.330002,56.381008,11782100,-0.010010
2021-05-19,59.130001,60.049999,58.779999,59.549999,55.652054,9215400,-0.012929
2021-05-20,59.419998,59.950001,58.770000,59.669998,55.764206,8310500,0.002015
2021-05-21,60.119999,60.549999,59.450001,59.590000,55.689442,9741400,-0.001341
2021-05-24,60.040001,60.900002,59.590000,60.730000,56.754818,11488300,0.019131
2021-05-25,60.700001,60.910000,59.889999,60.009998,56.081944,8911900,-0.011856
2021-05-26,60.250000,61.070000,60.060001,60.799999,56.820236,8740800,0.013165
2021-05-27,60.880001,61.580002,60.790001,61.400002,57.380966,11339200,0.009868
2021-05-28,61.590000,61.970001,61.180000,61.799999,57.754780,8962400,0.006515
2021-06-01,62.500000,63.049999,62.090000,62.500000,58.408958,6361400,0.011327
2021-06-02,63.000000,63.380001,62.139999,62.980000,58.857548,7552500,0.007680
2021-06-03,62.900002,63.700001,62.470001,63.259998,59.119217,7620800,0.004446
2021-06-04,63.689999,63.880001,62.810001,63.669998,59.502377,5751800,0.006481
2021-06-07,63.619999,64.029999,63.020000,63.340000,59.193977,5920300,-0.005183
2021-06-08,63.259998,64.169998,62.790001,64.089996,59.894886,9855000,0.011841
2021-06-09,64.290001,64.699997,63.549999,63.610001,59.446308,13185600,-0.007489
2021-06-10,64.660004,64.839996,63.049999,63.439999,59.287437,6980000,-0.002673
2021-06-11,63.700001,64.000000,63.160000,63.180000,59.044456,3631600,-0.004098
2021-06-14,63.380001,63.709999,62.770000,62.990002,58.866894,8772100,-0.003007
2021-06-15,63.299999,64.290001,63.070000,63.669998,59.502377,6232000,0.010795
2021-06-16,63.470001,63.820000,62.700001,63.279999,59.137905,5432400,-0.006125
2021-06-17,63.270000,63.759998,60.430000,60.959999,56.969761,7209900,-0.036663
2021-06-18,60.169998,60.509998,58.860001,58.869999,55.016567,8980600,-0.034285
2021-06-21,59.330002,61.169998,59.150002,61.049999,57.053879,4657900,0.037031
2021-06-22,60.740002,61.689999,60.380001,61.340000,57.324894,4246900,0.004750
2021-06-23,62.060001,62.849998,61.529999,61.549999,57.521152,3538800,0.003424
2021-06-24,62.000000,62.500000,61.439999,62.340000,58.259441,2646000,0.012835
2021-06-25,62.480000,62.730000,61.709999,62.549999,58.455692,9623100,0.003369
2021-06-28,62.400002,62.529999,60.410000,60.500000,56.539879,6040700,-0.032774
2021-06-29,60.919998,61.119999,60.009998,60.080002,56.147369,3630100,-0.006942
2021-06-30,60.299999,60.849998,60.040001,60.419998,56.465111,3822200,0.005659
2021-07-01,61.450001,61.779999,60.820000,61.270000,57.259476,4013900,0.014068
2021-07-02,61.500000,61.500000,60.389999,61.070000,57.072563,4312200,-0.003264
2021-07-06,60.810001,60.980000,58.799999,58.970001,55.110020,9406400,-0.034387
2021-07-07,58.799999,59.180000,57.320000,57.950001,54.156788,4186500,-0.017297
2021-07-08,56.750000,57.910000,56.380001,57.450001,53.689526,6898600,-0.008628
2021-07-09,58.070000,58.750000,57.180000,58.680000,54.839012,5776200,0.021410
2021-07-12,58.139999,59.169998,57.619999,58.330002,54.511921,4943600,-0.005965
2021-07-13,57.970001,58.160000,57.160000,57.400002,53.642792,4934900,-0.015944
2021-07-14,57.220001,57.840000,55.020000,55.119999,51.512035,7799800,-0.039721
2021-07-15,54.599998,55.169998,54.020000,54.250000,50.698978,7348800,-0.015784
2021-07-16,54.680000,54.830002,53.139999,53.259998,49.773773,6763600,-0.018249
2021-07-19,51.369999,51.790001,50.189999,50.880001,47.549568,10787800,-0.044686
2021-07-20,51.070000,52.270000,50.459999,52.119999,48.708405,5664600,0.024371
2021-07-21,52.959999,54.509998,52.930000,54.080002,50.540112,5798900,0.037606
2021-07-22,53.820000,53.820000,52.790001,53.389999,49.895271,3179200,-0.012759
2021-07-23,53.200001,53.700001,52.639999,53.430000,49.932655,3058400,0.000749
2021-07-26,53.830002,54.740002,53.779999,54.660000,51.082146,3948200,0.023021
2021-07-27,53.990002,54.480000,53.610001,54.340000,50.783092,3625600,-0.005854
2021-07-28,54.650002,55.810001,54.139999,55.279999,51.661564,3196500,0.017299
2021-07-29,56.110001,56.470001,55.470001,55.930000,52.269012,3210800,0.011758
2021-07-30,55.500000,56.090000,54.779999,55.220001,51.605492,3642500,-0.012694
2021-08-02,55.290001,56.410000,54.240002,54.459999,50.895233,5258600,-0.013763
2021-08-03,54.279999,55.950001,53.660000,55.939999,52.278358,4892500,0.027176
2021-08-04,54.750000,55.919998,54.189999,54.380001,50.820473,6118000,-0.027887
2021-08-05,55.160000,57.330002,55.020000,56.490002,52.792362,7163100,0.038801
2021-08-06,57.340000,57.770000,56.450001,57.410000,53.652142,6352500,0.016286
2021-08-09,56.529999,57.880001,56.450001,57.220001,53.474579,5451600,-0.003310
2021-08-10,57.700001,58.669998,57.459999,58.480000,54.652100,6051300,0.022020
2021-08-11,58.299999,59.220001,58.080002,59.139999,55.268898,4856600,0.011286
2021-08-12,58.939999,59.580002,58.439999,59.540001,55.642712,4948000,0.006764
2021-08-13,59.580002,59.910000,59.080002,59.150002,55.278248,3639800,-0.006550
2021-08-16,58.310001,58.980000,57.880001,58.380001,54.558647,5633000,-0.013018
2021-08-17,57.419998,58.270000,56.730000,57.099998,53.897903,5789000,-0.012111
2021-08-18,56.980000,57.840000,56.209999,56.279999,53.123882,4414000,-0.014361
2021-08-19,55.439999,55.919998,53.549999,54.230000,51.188847,8185600,-0.036425
2021-08-20,53.639999,54.900002,53.470001,54.770000,51.698559,5964000,0.009957
2021-08-23,55.939999,56.980000,55.790001,56.820000,53.633602,4499600,0.037429
2021-08-24,57.299999,58.360001,57.040001,57.959999,54.709671,4597400,0.020063
2021-08-25,57.910000,59.200001,57.500000,58.630001,55.342102,5268500,0.011560
2021-08-26,58.740002,58.889999,58.009998,58.090000,54.832378,4982600,-0.009210
2021-08-27,58.790001,60.529999,58.790001,60.020000,56.654152,6556000,0.033224
2021-08-30,60.330002,60.490002,58.869999,58.930000,55.625271,6138900,-0.018161
2021-08-31,58.580002,59.820000,58.580002,59.270000,55.946209,6464100,0.005770
2021-09-01,59.099998,59.410000,57.020000,57.250000,54.039482,6489000,-0.034081
2021-09-02,57.840000,58.669998,57.369999,57.900002,54.653038,5402400,0.011354
2021-09-03,57.720001,58.490002,57.500000,58.240002,54.973976,5010200,0.005872
2021-09-07,58.279999,59.720001,58.060001,58.570000,55.285465,4952400,0.005666
2021-09-08,58.860001,59.250000,57.060001,57.110001,53.907337,7420200,-0.024927
2021-09-09,56.669998,58.139999,56.509998,57.250000,54.039482,5004800,0.002451
2021-09-10,58.189999,58.230000,56.529999,56.869999,53.680794,4866400,-0.006638
2021-09-13,57.630001,58.639999,57.580002,58.610001,55.323215,5885400,0.030596
2021-09-14,59.320000,59.340000,57.439999,57.560001,54.332104,5609100,-0.017915
2021-09-15,58.209999,59.680000,58.150002,59.570000,56.229385,6875200,0.034920
2021-09-16,59.540001,59.720001,58.750000,59.099998,55.785740,4135700,-0.007890
2021-09-17,58.849998,59.540001,58.470001,58.860001,55.559200,7621100,-0.004061
2021-09-20,57.099998,58.310001,56.080002,57.130001,53.926216,6919800,-0.029392
2021-09-21,58.040001,58.360001,56.669998,57.840000,54.596397,4525200,0.012428
2021-09-22,58.810001,60.730000,58.509998,59.910000,56.550316,7604000,0.035788
2021-09-23,59.950001,61.919998,59.759998,61.799999,58.334328,5851900,0.031547
2021-09-24,61.340000,62.279999,61.009998,61.889999,58.419281,3860900,0.001456
2021-09-27,62.990002,63.799999,62.790001,63.090000,59.551987,7532900,0.019389
2021-09-28,63.840000,63.939999,62.320000,62.509998,59.004513,6093500,-0.009193
2021-09-29,62.680000,62.680000,61.740002,61.930000,58.457039,4963200,-0.009279
2021-09-30,61.970001,63.029999,61.520000,61.810001,58.343761,6531900,-0.001938
2021-10-01,62.000000,63.599998,61.910000,63.560001,59.995628,6868200,0.028313
2021-10-04,63.919998,64.690002,62.889999,63.020000,59.485909,9084700,-0.008496
2021-10-05,63.410000,64.339996,62.150002,63.250000,59.703018,7908100,0.003650
2021-10-06,62.490002,63.400002,61.439999,62.860001,59.334885,9077700,-0.006166
2021-10-07,63.520000,64.349998,63.369999,63.500000,59.938999,6021800,0.010181
2021-10-08,64.019997,65.260002,63.919998,65.160004,61.505913,6424800,0.026142
2021-10-11,66.000000,66.139999,64.489998,64.559998,60.939548,4832000,-0.009208
2021-10-12,64.500000,65.349998,64.250000,64.739998,61.109451,6470300,0.002788
2021-10-13,64.300003,65.419998,63.700001,65.260002,61.600300,5142200,0.008032
2021-10-14,66.260002,67.000000,65.629997,66.680000,62.940670,6837700,0.021759
2021-10-15,67.510002,67.919998,66.639999,66.800003,63.053932,6186200,0.001800
2021-10-18,67.309998,67.419998,66.040001,66.400002,62.676373,4911300,-0.005988
2021-10-19,67.000000,67.209999,66.440002,66.830002,63.082253,4881100,0.006476
2021-10-20,66.000000,67.349998,65.779999,67.209999,63.440933,5194900,0.005686
2021-10-21,66.930000,67.989998,66.430000,67.029999,63.271038,5806600,-0.002678
2021-10-22,67.190002,67.629997,66.519997,67.519997,63.733562,3977800,0.007310
2021-10-25,68.000000,68.709999,67.580002,68.199997,64.375420,4679400,0.010071
2021-10-26,68.279999,68.779999,67.570000,68.470001,64.630295,5532500,0.003959
2021-10-27,67.750000,67.860001,66.070000,66.150002,62.440388,6473900,-0.033884
2021-10-28,66.040001,67.239998,65.970001,66.669998,62.931232,5548800,0.007861
2021-10-29,66.779999,66.790001,65.489998,65.930000,62.232719,7668000,-0.011100
2021-11-01,66.470001,67.410004,66.430000,67.260002,63.488140,4761200,0.020173
2021-11-02,67.010002,68.779999,64.070000,64.639999,61.015072,8026700,-0.038953
2021-11-03,64.239998,64.330002,63.169998,63.680000,60.108902,7830100,-0.014852
2021-11-04,64.440002,64.519997,62.320000,63.570000,60.005074,9258900,-0.001727
2021-11-05,64.730003,66.050003,64.129997,65.809998,62.119442,10113800,0.035236
2021-11-08,66.440002,67.099998,65.629997,65.669998,61.987297,5393800,-0.002127
2021-11-09,65.709999,67.269997,65.660004,67.129997,63.365421,6152200,0.022232
2021-11-10,66.559998,67.330002,65.279999,65.519997,61.845715,6560900,-0.023983
2021-11-11,65.610001,66.790001,65.519997,66.000000,62.298790,5166800,0.007326
2021-11-12,65.580002,66.230003,65.430000,65.800003,62.110020,4044700,-0.003030
2021-11-15,66.169998,67.099998,65.449997,66.120003,62.412064,6236700,0.004863
2021-11-16,65.709999,65.849998,64.510002,64.839996,61.745472,5282000,-0.010680
2021-11-17,64.019997,65.099998,63.340000,63.580002,60.545612,5485000,-0.019432
2021-11-18,63.410000,64.019997,62.000000,62.700001,59.707615,6910700,-0.013841
2021-11-19,61.360001,62.099998,60.180000,60.279999,57.403107,7816300,-0.038597
2021-11-22,60.200001,62.520000,60.200001,61.689999,58.745815,6274300,0.023391
2021-11-23,62.419998,63.990002,62.259998,63.849998,60.802727,6971000,0.035014
2021-11-24,63.160000,64.919998,63.119999,64.550003,61.469326,5191700,0.010963
2021-11-26,60.970001,62.029999,59.549999,61.349998,58.422035,5847900,-0.049574
2021-11-29,62.980000,64.190002,61.340000,61.779999,58.831524,6166500,0.007009
2021-11-30,60.310001,61.330002,59.750000,60.849998,57.945900,14326200,-0.015054
2021-12-01,62.570000,63.880001,60.840000,60.910000,58.003040,6552400,0.000986
2021-12-02,60.910000,63.470001,60.560001,63.330002,60.307541,6298500,0.039731
2021-12-03,64.190002,64.239998,61.369999,61.669998,58.726765,8031800,-0.026212
2021-12-06,62.799999,63.790001,61.630001,62.860001,59.859974,5915300,0.019296
2021-12-07,63.689999,65.410004,63.689999,64.230003,61.164593,7347300,0.021795
2021-12-08,64.410004,65.239998,63.869999,64.059998,61.002701,5430400,-0.002647
2021-12-09,63.220001,63.779999,62.990002,63.340000,60.317070,5373800,-0.011239
2021-12-10,63.970001,64.129997,62.759998,63.689999,60.650360,4714300,0.005526
2021-12-13,62.930000,63.290001,61.720001,61.810001,58.860088,5416800,-0.029518
2021-12-14,61.480000,63.509998,61.130001,62.450001,59.469540,5700600,0.010354
2021-12-15,62.259998,62.919998,61.080002,62.480000,59.498112,5561900,0.000480
2021-12-16,63.279999,64.180000,62.689999,62.770000,59.774265,6067800,0.004641
2021-12-17,62.580002,63.230000,61.310001,62.450001,59.469540,13803000,-0.005098
2021-12-20,60.950001,61.459999,59.959999,60.910000,58.003040,7136700,-0.024660
2021-12-21,61.650002,63.730000,61.599998,63.419998,60.393253,5679200,0.041208
2021-12-22,63.500000,64.059998,62.970001,63.099998,60.088520,5168400,-0.005046
2021-12-23,63.750000,64.529999,63.020000,63.040001,60.031387,4658300,-0.000951
2021-12-27,62.590000,64.089996,62.169998,64.080002,61.021755,4334900,0.016498
2021-12-28,64.400002,65.169998,64.239998,64.370003,61.297913,4774700,0.004526
2021-12-29,64.199997,64.620003,63.700001,63.950001,60.897953,5253600,-0.006525
2021-12-30,64.050003,64.669998,63.389999,63.430000,60.402775,4049900,-0.008131
2021-12-31,63.290001,64.330002,63.290001,63.990002,60.936047,3546400,0.008829
2022-01-03,64.440002,66.250000,64.269997,65.660004,62.526340,5855800,0.026098
2022-01-04,66.300003,67.989998,66.050003,67.809998,64.573738,8469200,0.032745
2022-01-05,68.980003,69.940002,68.089996,68.239998,64.983208,8747200,0.006341
2022-01-06,69.779999,70.379997,68.820000,70.150002,66.802063,7923800,0.027990
2022-01-07,70.099998,71.010002,69.820000,70.930000,67.544830,6443500,0.011119
2022-01-10,70.949997,71.410004,69.860001,70.449997,67.087730,5922700,-0.006767
2022-01-11,71.320000,72.800003,70.610001,72.690002,69.220840,6883000,0.031796
2022-01-12,73.000000,73.860001,72.370003,73.080002,69.592224,6861800,0.005365
2022-01-13,73.339996,74.139999,72.860001,73.120003,69.630325,5486500,0.000547
2022-01-14,73.000000,74.769997,72.940002,74.739998,71.172997,7237100,0.022155
