Date,Open,High,Low,Close,Adj Close,Volume,% change,14-day volatility,Annual Volatility,SPX % change,14-day ß,12-yr ß,10-yr yield,VIX Close,VIX % change
2017-07-17,43.310001,43.520000,43.090000,43.189999,34.792786,7014700,-0.005984,0.015472,0.245611,-0.000053,0.462292,,2.31,9.82,0.0325972660357518
2017-07-18,43.450001,43.450001,42.799999,43.070000,34.696106,6834800,-0.002779,0.015428,0.244913,0.000598,0.464944,,2.27,9.89,0.00712830957230143
2017-07-19,42.950001,43.750000,42.939999,43.660000,35.171387,8823000,0.013698,0.015947,0.253155,0.005373,0.699446,,2.27,9.79,-0.0101112234580384
2017-07-20,43.779999,43.830002,43.099998,43.230000,35.037659,7663000,-0.003802,0.015945,0.253121,-0.000154,1.176178,,2.27,9.58,-0.0214504596527068
2017-07-21,42.959999,43.160000,42.570000,42.650002,34.567574,6480600,-0.013417,0.016295,0.258670,-0.000368,1.255347,,2.24,9.36,-0.022964509394572
2017-07-24,42.730000,42.959999,42.540001,42.610001,34.535160,6094100,-0.000938,0.011496,0.182496,-0.001064,1.034895,,2.26,9.43,0.00747863247863248
2017-07-25,43.349998,43.959999,43.230000,43.650002,35.378075,8641100,0.024407,0.010770,0.170963,0.002923,1.232602,,2.33,9.43,0
2017-07-26,43.910000,44.380001,43.580002,43.700001,35.418602,7124500,0.001146,0.009294,0.147533,0.000283,0.711474,,2.29,9.6,0.0180275715800636
2017-07-27,44.340000,44.660000,43.820000,44.660000,36.196678,9803100,0.021968,0.010483,0.166414,-0.000973,0.721869,,2.32,10.11,0.053125
2017-07-28,44.730000,45.939999,44.619999,45.259998,36.682957,10794900,0.013434,0.010825,0.171842,-0.001341,0.418206,,2.3,10.29,0.0178041543026706
2017-07-31,45.330002,45.869999,45.200001,45.369999,36.772118,8368400,0.002431,0.010826,0.171858,-0.000728,0.420749,,2.3,10.26,-0.00291545189504373
2017-08-01,45.330002,45.330002,44.619999,44.750000,36.269627,6685100,-0.013665,0.011697,0.185677,0.002449,0.886244,,2.26,10.09,-0.0165692007797271
2017-08-02,44.389999,45.630001,44.270000,45.610001,36.966648,9562300,0.019218,0.012434,0.197385,0.000493,0.846150,,2.27,10.28,0.0188305252725471
2017-08-03,45.639999,45.950001,44.680000,44.910000,36.399288,9204100,-0.015348,0.013496,0.214237,-0.002184,1.870567,,2.24,10.44,0.0155642023346304
2017-08-04,44.939999,45.590000,44.860001,45.560001,36.926121,6105600,0.014474,0.013569,0.215402,0.001889,1.996105,,2.27,10.03,-0.039272030651341
2017-08-07,45.270000,45.480000,44.830002,45.169998,36.610023,6370200,-0.008560,0.013887,0.220445,0.001647,1.720662,,2.26,9.93,-0.00997008973080758
2017-08-08,45.150002,46.110001,45.000000,45.630001,36.982857,8032000,0.010184,0.013727,0.217917,-0.002414,0.857836,,2.29,10.96,0.103726082578046
2017-08-09,45.790001,46.000000,45.369999,45.650002,36.999058,7451100,0.000438,0.013596,0.215827,-0.000364,0.853823,,2.24,11.11,0.0136861313868613
2017-08-10,45.680000,45.950001,44.930000,44.970001,36.447926,6441400,-0.014896,0.013746,0.218217,-0.014474,1.195937,,2.2,16.040001,0.443744464446445
2017-08-11,44.959999,45.380001,44.669998,44.790001,36.302032,4206900,-0.004003,0.013853,0.219909,0.001276,1.102595,,2.19,15.51,-0.0330424542990989
2017-08-14,44.799999,45.090000,44.400002,44.540001,36.099415,5063100,-0.005581,0.012666,0.201060,0.010044,0.325754,,2.22,12.33,-0.205029013539652
2017-08-15,44.439999,44.700001,44.049999,44.500000,36.066990,8179300,-0.000898,0.012682,0.201320,-0.000499,0.327636,,2.27,12.04,-0.0235198702351987
